winner_id,PlayerWins,AverageWins,country
213972,78,10,ALG                                                                                                 
214604,93,19,ARG                                                                                                 
106057,68,19,ARG                                                                                                 
144821,28,19,ARG                                                                                                 
104216,55,19,ARG                                                                                                 
206345,113,19,ARG                                                                                                 
106044,109,19,ARG                                                                                                 
214136,46,19,ARG                                                                                                 
206410,42,19,ARG                                                                                                 
106398,83,19,ARG                                                                                                 
105819,157,19,ARG                                                                                                 
106162,25,19,ARG                                                                                                 
211920,37,19,ARG                                                                                                 
106006,79,19,ARG                                                                                                 
214605,31,19,ARG                                                                                                 
200116,54,19,ARG                                                                                                 
104547,82,19,ARG                                                                                                 
104919,110,19,ARG                                                                                                 
111508,31,19,ARG                                                                                                 
106164,33,19,ARG                                                                                                 
105952,134,19,ARG                                                                                                 
205842,60,19,ARG                                                                                                 
207678,36,19,ARG                                                                                                 
105120,28,19,ARG                                                                                                 
206146,109,19,ARG                                                                                                 
215140,50,19,ARG                                                                                                 
105911,123,19,ARG                                                                                                 
105948,172,19,ARG                                                                                                 
105274,22,19,ARG                                                                                                 
202440,119,19,ARG                                                                                                 
211921,81,19,ARG                                                                                                 
106228,163,19,ARG                                                                                                 
105477,130,19,ARG                                                                                                 
105643,162,19,ARG                                                                                                 
105223,94,19,ARG                                                                                                 
144869,72,19,ARG                                                                                                 
206147,42,19,ARG                                                                                                 
122536,35,19,ARG                                                                                                 
206343,48,19,ARG                                                                                                 
126663,63,19,ARG                                                                                                 
220446,47,19,ARG                                                                                                 
214106,50,19,ARG                                                                                                 
106043,184,19,ARG                                                                                                 
202103,70,19,ARG                                                                                                 
202058,32,19,ARG                                                                                                 
105487,211,19,ARG                                                                                                 
105550,125,19,ARG                                                                                                 
106032,74,19,ARG                                                                                                 
106380,31,19,ARG                                                                                                 
106292,28,19,ARG                                                                                                 
104122,114,19,ARG                                                                                                 
206408,159,19,ARG                                                                                                 
206060,49,7,ARM                                                                                                 
200282,157,17,AUS                                                                                                 
220735,22,17,AUS                                                                                                 
215440,21,17,AUS                                                                                                 
106291,91,17,AUS                                                                                                 
214045,25,17,AUS                                                                                                 
105357,144,17,AUS                                                                                                 
126846,93,17,AUS                                                                                                 
215096,72,17,AUS                                                                                                 
219940,18,17,AUS                                                                                                 
211941,62,17,AUS                                                                                                 
211881,59,17,AUS                                                                                                 
215832,19,17,AUS                                                                                                 
117358,33,17,AUS                                                                                                 
105441,100,17,AUS                                                                                                 
111442,191,17,AUS                                                                                                 
211880,89,17,AUS                                                                                                 
104594,88,17,AUS                                                                                                 
215804,42,17,AUS                                                                                                 
201548,98,17,AUS                                                                                                 
206357,22,17,AUS                                                                                                 
117357,25,17,AUS                                                                                                 
106225,46,17,AUS                                                                                                 
111451,39,17,AUS                                                                                                 
117361,110,17,AUS                                                                                                 
214239,39,17,AUS                                                                                                 
106401,91,17,AUS                                                                                                 
126573,20,17,AUS                                                                                                 
201325,81,17,AUS                                                                                                 
106071,75,17,AUS                                                                                                 
105032,40,17,AUS                                                                                                 
105454,75,17,AUS                                                                                                 
105974,55,17,AUS                                                                                                 
105286,24,17,AUS                                                                                                 
214191,124,17,AUS                                                                                                 
213599,46,17,AUS                                                                                                 
215811,41,17,AUS                                                                                                 
204412,36,17,AUS                                                                                                 
214040,33,17,AUS                                                                                                 
126845,104,17,AUS                                                                                                 
105902,134,17,AUS                                                                                                 
117360,109,17,AUS                                                                                                 
105881,37,17,AUS                                                                                                 
202458,134,17,AUS                                                                                                 
213541,31,17,AUS                                                                                                 
106423,68,17,AUS                                                                                                 
202539,50,17,AUS                                                                                                 
211751,23,17,AUS                                                                                                 
206391,85,17,AUS                                                                                                 
213666,90,17,AUS                                                                                                 
205923,66,17,AUS                                                                                                 
106425,31,17,AUS                                                                                                 
201611,81,17,AUS                                                                                                 
105051,114,17,AUS                                                                                                 
110757,34,17,AUS                                                                                                 
106109,128,17,AUS                                                                                                 
204411,55,17,AUS                                                                                                 
211878,103,17,AUS                                                                                                 
216090,20,17,AUS                                                                                                 
106331,84,17,AUS                                                                                                 
203526,33,17,AUS                                                                                                 
206292,104,17,AUS                                                                                                 
106302,60,17,AUS                                                                                                 
206390,90,17,AUS                                                                                                 
105595,54,17,AUS                                                                                                 
106186,86,17,AUS                                                                                                 
200615,122,17,AUS                                                                                                 
201542,101,17,AUS                                                                                                 
206362,99,17,AUS                                                                                                 
134329,21,17,AUS                                                                                                 
216265,41,17,AUS                                                                                                 
215018,101,17,AUS                                                                                                 
105589,111,21,AUT                                                                                                 
105814,48,21,AUT                                                                                                 
103781,42,21,AUT                                                                                                 
204352,27,21,AUT                                                                                                 
211814,180,21,AUT                                                                                                 
111192,94,21,AUT                                                                                                 
204390,54,21,AUT                                                                                                 
201659,111,21,AUT                                                                                                 
104890,27,21,AUT                                                                                                 
201481,54,21,AUT                                                                                                 
211408,22,21,AUT                                                                                                 
124116,124,21,AUT                                                                                                 
211283,26,21,AUT                                                                                                 
110602,120,21,AUT                                                                                                 
106233,182,21,AUT                                                                                                 
202482,176,21,AUT                                                                                                 
200514,106,21,AUT                                                                                                 
105426,32,21,AUT                                                                                                 
214818,77,21,AUT                                                                                                 
211330,44,21,AUT                                                                                                 
221257,41,21,AUT                                                                                                 
126634,33,21,AUT                                                                                                 
221838,3,2,BAH                                                                                                 
210920,13,2,BAH                                                                                                 
105985,107,7,BAR                                                                                                 
216367,52,14,BDI                                                                                                 
200267,49,27,BEL                                                                                                 
215328,56,27,BEL                                                                                                 
104327,99,27,BEL                                                                                                 
205855,50,27,BEL                                                                                                 
123785,28,27,BEL                                                                                                 
105963,116,27,BEL                                                                                                 
213855,112,27,BEL                                                                                                 
210801,47,27,BEL                                                                                                 
213889,142,27,BEL                                                                                                 
105726,41,27,BEL                                                                                                 
210722,174,27,BEL                                                                                                 
201518,89,27,BEL                                                                                                 
215039,76,27,BEL                                                                                                 
204434,113,27,BEL                                                                                                 
105676,161,27,BEL                                                                                                 
106167,84,27,BEL                                                                                                 
214945,35,27,BEL                                                                                                 
211303,65,27,BEL                                                                                                 
213888,58,27,BEL                                                                                                 
201465,101,27,BEL                                                                                                 
202421,127,27,BEL                                                                                                 
201550,33,27,BEL                                                                                                 
206251,120,27,BEL                                                                                                 
211260,141,27,BEL                                                                                                 
206250,30,27,BEL                                                                                                 
213853,138,27,BEL                                                                                                 
106293,158,27,BEL                                                                                                 
211556,132,27,BEL                                                                                                 
211321,45,27,BEL                                                                                                 
105074,134,27,BEL                                                                                                 
